Name,Attributes,n,n1,n2,δ
Wiktionary edits (rn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",89,27,62,5
Wiktionary edits (mh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",83,29,54,9
Pro League (2016/2017),"['Interaction network', 'Unipartite directed', 'Signed possibly weighted multiple edges', 'Inverted edges can be interpreted as negated edges', 'Edges may have weight zero']",16,,,1
Wikiquote edits (tk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",93,27,66,7
Wiktionary edits (ch),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",103,36,67,6
Train bombing,"['Human social network', 'Unipartite undirected', 'Positive weights no multiple edges']",64,,,6
Wikiquote edits (ug),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",93,28,65,7
Wiktionary edits (av),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",107,35,72,6
Sheep,"['Animal network', 'Unipartite directed', 'Positive weights no multiple edges', 'Inverted edges can be interpreted as negated edges']",28,,,3
Wiktionary edits (ak),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",119,40,79,4
Gene fusion,"['Miscellaneous network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data']",291,,,9
Wikibooks edits (ks),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",89,25,64,10
Les Misérables,"['Miscellaneous network', 'Unipartite undirected', 'Positive weights no multiple edges']",77,,,5
Wikibooks edits (ch),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",84,24,60,8
Wikibooks edits (as),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",102,31,71,10
Wikibooks edits (my),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",98,25,73,8
Wikibooks edits (aa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",115,36,79,6
Bundesliga (2016/2017),"['Interaction network', 'Unipartite directed', 'Signed possibly weighted multiple edges', 'Inverted edges can be interpreted as negated edges', 'Edges exist between all possible nodes', 'Edges may have weight zero']",18,,,1
Wikibooks edits (nah),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",97,26,71,7
Bison,"['Animal network', 'Unipartite directed', 'Positive weights no multiple edges', 'Inverted edges can be interpreted as negated edges']",26,,,2
Wikibooks edits (got),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",90,25,65,7
Wiktionary edits (cr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",106,33,73,5
Wikiquote edits (als),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",111,35,76,5
Wikiquote edits (tt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",93,25,68,12
Wikibooks edits (qu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",100,25,75,6
David Copperfield,"['Lexical network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is not directed but the underlying data is']",112,,,5
Windsurfers,"['Human contact network', 'Unipartite undirected', 'Positive weights no multiple edges']",43,,,3
Wikiquote edits (vo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",100,30,70,9
Political books,"['Miscellaneous network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is the join of an underlying network', 'Does not have multiple edges but the underlying data has', 'Only nodes with degree larger than a given threshold are included']",105,,,7
Wikibooks edits (se),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",110,29,81,6
Wikibooks edits (bo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",105,28,77,8
Seventh graders,"['Human social network', 'Unipartite directed', 'Positive weights no multiple edges']",29,,,2
Wiktionary edits (xh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",141,38,103,8
Wikibooks edits (ug),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",107,25,82,12
Ligue 1 (2016/2017),"['Interaction network', 'Unipartite directed', 'Signed possibly weighted multiple edges', 'Inverted edges can be interpreted as negated edges', 'Edges exist between all possible nodes', 'Edges may have weight zero']",20,,,1
Premier League (2013/2014),"['Interaction network', 'Unipartite directed', 'Signed possibly weighted multiple edges', 'Inverted edges can be interpreted as negated edges', 'Edges exist between all possible nodes', 'Edges may have weight zero']",20,,,1
Highschool,"['Human social network', 'Unipartite directed', 'Positive weights no multiple edges']",70,,,6
Wikibooks edits (mi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",94,20,74,8
Wikiquote edits (ga),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",112,29,83,10
Wiktionary edits (rm),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",142,20,122,2
Wikibooks edits (ak),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",121,29,92,8
Wiktionary edits (aa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",139,39,100,5
Hens,"['Animal network', 'Unipartite directed', 'Unweighted no multiple edges', 'Inverted edges can be interpreted as negated edges', 'Does not contain reciprocal edges', 'All pairs of nodes are connected by a directed edge']",32,,,1
Wikibooks edits (gu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",115,29,86,11
Wiktionary edits (bm),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",119,33,86,10
Wikibooks edits (wa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",171,42,129,5
Wikibooks edits (ln),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",114,26,88,14
Wikibooks edits (yo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",147,36,111,8
American football,"['Interaction network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is not directed but the underlying data is', 'Does not have multiple edges but the underlying data has']",115,,,4
Wikiquote edits (kk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",176,39,137,4
Wiktionary edits (bo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",195,27,168,2
Wikibooks edits (xh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",167,37,130,3
Wikibooks edits (lb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",175,43,132,10
Wikipedia edits (mus),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",163,49,114,12
Similarities (DBpedia),"['Miscellaneous network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops']",430,,,14
Wikibooks edits (za),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",190,48,142,2
Wiktionary edits (sc),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",123,29,94,11
Wiktionary edits (bi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",244,29,215,2
Wiktionary edits (to),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",248,32,216,2
Wiktionary edits (yo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",237,27,210,2
Wikibooks edits (ps),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",174,35,139,6
Wiktionary edits (tw),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",260,35,225,2
Wiktionary edits (dz),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",260,31,229,2
Wikibooks edits (kn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",204,47,157,4
Wikibooks edits (nds),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",244,52,192,7
Wiktionary edits (bh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",268,38,230,2
Wikipedia edits (kj),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",160,47,113,11
Wiktionary edits (sn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",270,37,233,2
Wikibooks edits (sw),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",264,53,211,12
Wikiquote edits (ht),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",153,35,118,10
Wiktionary edits (as),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",300,43,257,6
Wikiquote edits (co),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",270,60,210,6
Wikibooks edits (als),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",270,46,224,6
Wikipedia edits (ho),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",181,53,128,10
Congress votes,"['Interaction network', 'Unipartite directed', 'Signed possibly weighted multiple edges', 'Contains loops']",219,,,7
Wiktionary edits (mo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",271,41,230,2
Wikibooks edits (zu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",271,64,207,6
Wiktionary edits (ab),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",289,41,248,4
Wikibooks edits (tk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",307,62,245,7
Wikibooks edits (mn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",253,43,210,6
Physicians,"['Human social network', 'Unipartite directed', 'Unweighted no multiple edges']",241,,,5
Wikibooks edits (na),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",300,50,250,6
Wikipedia edits (kr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",221,60,161,10
Wikibooks edits (ast),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",362,86,276,7
Wikipedia edits (hz),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",245,70,175,11
Japanese macaques,"['Animal network', 'Unipartite directed', 'Positive weights no multiple edges']",62,,,2
Wikibooks edits (vo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",394,89,305,7
Wikibooks edits (co),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",329,73,256,17
Wikibooks edits (su),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",433,88,345,7
Wikipedia edits (cho),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",278,77,201,10
Wikibooks edits (uz),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",500,102,398,8
Euroroads,"['Infrastructure network', 'Unipartite undirected', 'Unweighted no multiple edges']",1174,,,62
Wikipedia edits (ii),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",251,62,189,12
Wikiquote edits (ast),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",394,94,300,18
Wikiquote edits (am),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",555,138,417,12
Crime,"['Interaction network', 'Bipartite undirected', 'Unweighted no multiple edges']",1380,829,551,32
Wikipedia edits (din),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",197,26,171,7
Wikipedia edits (mh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",307,102,205,12
Wikiquote edits (lb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",423,85,338,9
FilmTrust trust,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data']",874,,,13
Caenorhabditis elegans (metabolic),"['Metabolic network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data']",453,,,7
Wikibooks edits (zh-min-nan),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",520,104,416,14
Wikibooks edits (lv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",420,59,361,15
Unicode languages,"['Feature network', 'Bipartite undirected', 'Positive weights no multiple edges', 'Edges may have weight zero']",868,254,614,8
Wikibooks edits (mg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",609,130,479,18
Wikiquote edits (wo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",654,147,507,15
Wikiquote edits (ky),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",611,149,462,15
Wikibooks edits (ky),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",647,143,504,8
Wikiquote edits (zh-min-nan),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",550,106,444,16
Jazz musicians,"['Human social network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is the join of an underlying network']",198,,,6
Yeast,"['Metabolic network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops']",1870,,,19
Wikiquote edits (fo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",691,155,536,12
Little Rock Lake,"['Trophic network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",183,,,4
LiquidFeedback (units),"['Online contact network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps']",770,,,18
Wikibooks edits (ie),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",705,137,568,12
Wikibooks edits (fy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",739,147,592,12
Wikibooks edits (cy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",781,169,612,16
Network science,"['Coauthorship network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is the join of an underlying network', 'Does not have multiple edges but the underlying data has']",1461,,,17
Air traffic control,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1226,,,17
Wikipedia edits (aa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",689,182,507,15
Wikiquote edits (uz),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",704,174,530,13
Residence hall,"['Human social network', 'Unipartite directed', 'Positive weights no multiple edges']",217,,,4
Wikiquote edits (ang)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",625,109,516,14
Wikibooks edits (tg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",960,141,819,16
Wikibooks edits (pa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",824,167,657,13
Facebook (NIPS),"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data']",2888,,,9
Wiktionary edits (als),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1271,45,1226,9
A Song of Ice and Fire,"['Miscellaneous network', 'Unipartite undirected', 'Unweighted multiple edges']",796,,,9
Wikibooks edits (ku),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",707,152,555,7
LiquidFeedback (global),"['Online contact network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps']",775,,,12
Wikibooks edits (ia),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",885,164,721,14
Wikipedia talk (ht),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",536,,,9
Wikibooks edits (cv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",914,207,707,19
Wikibooks edits (af),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",971,243,728,16
Caenorhabditis elegans,"['Metabolic network', 'Unipartite undirected', 'Unweighted multiple edges', 'Contains loops']",453,,,7
Wiktionary edits (za),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",682,122,560,15
Wikibooks edits (oc),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",875,165,710,13
Wikibooks edits (te),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",944,181,763,11
Hamsterster households,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",1576,,,8
Wiktionary edits (ik),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",741,126,615,15
Wiktionary edits (ks),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",888,167,721,15
Wikipedia edits (ng),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",663,221,442,12
Caenorhabditis elegans (neural),"['Neural network', 'Unipartite directed', 'Positive weights no multiple edges', 'Is a snapshot and likely to not contain all data', 'Does not have multiple edges but the underlying data has']",297,,,5
Wikibooks edits (sa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1493,165,1328,15
Wikibooks edits (kk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1162,169,993,12
U. Rovira i Virgili,"['Communication network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is not directed but the underlying data is', 'Does not have multiple edges but the underlying data has']",1133,,,8
Florida ecosystem wet,"['Trophic network', 'Unipartite directed', 'Positive weights no multiple edges']",128,,,3
Florida ecosystem dry,"['Trophic network', 'Unipartite directed', 'Positive weights no multiple edges']",128,,,3
Wikiquote edits (mr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1041,223,818,17
Wikibooks edits (li),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1229,152,1077,10
Wikibooks edits (be),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1160,188,972,11
Wikibooks edits (ang),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1436,194,1242,16
Wikibooks edits (mr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1199,190,1009,12
Wikiquote edits (br),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",906,189,717,14
Wikibooks edits (bs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1135,196,939,16
Wiktionary edits (ha),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1017,187,830,15
Wiktionary edits (tn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",882,160,722,15
Dutch college,"['Human social network', 'Unipartite directed', 'Signed possibly weighted multiple edges', 'Edges are annotated with timestamps', 'Edges may have weight zero']",32,,,2
Wiktionary edits (ts),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1079,171,908,12
Human proteins (Stelzl),"['Metabolic network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1706,,,13
Wikibooks edits (tt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1671,178,1493,14
Human proteins (Vidal),"['Metabolic network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops']",3133,,,13
Wikibooks edits (la),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1014,209,805,13
Human proteins (Figeys),"['Metabolic network', 'Unipartite directed', 'Unweighted no multiple edges']",2239,,,10
Wikiquote edits (su),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2184,144,2040,19
Wikinews edits (th),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1737,142,1595,13
Wikiquote edits (kn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1126,182,944,17
Wikiquote edits (sq),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1200,223,977,14
Wiktionary edits (sg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",909,163,746,13
Wikiquote edits (sk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1403,260,1143,12
US power grid,"['Infrastructure network', 'Unipartite undirected', 'Unweighted no multiple edges']",4941,,,46
Wiktionary edits (ti),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1282,164,1118,11
Wikibooks edits (ur),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1584,243,1341,13
Wikiquote edits (cy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1511,206,1305,14
Wikiquote edits (af),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1438,285,1153,14
Wikiquote edits (cy)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1557,208,1349,16
Wikibooks edits (km),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1189,172,1017,14
Wikibooks edits (mk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2155,233,1922,17
Wikiquote edits (ur),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2169,221,1948,15
Wikinews edits (sd),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2208,106,2102,15
Wikiquote edits (be),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1658,225,1433,12
Bible,"['Lexical network', 'Unipartite undirected', 'Unweighted multiple edges']",1773,,,8
